"id","identifier","googlePlaceId","lat","lng","name","country","city","province","streetAndNumber","zip","businessId","addressExtra"
3591907,"916017062","ChIJUQi3dpOzGg0RQMr_8XDQNjc",37.09279516,-8.04157586,"ALDI Almancil","PT","Almancil","Faro","Avenida 5 de Outubro","8135-120",1460040,"Vale de Éguas"
3591908,"916008284","ChIJ49xnrp4DEA0Rik1DkUeQHLU",37.11859033,-7.65980314,"ALDI Tavira","PT","Tavira","Faro","R. de São Pedro","8800-255",1460040,"Santiago"
3591909,"916042732","ChIJAd2AzamyGg0RNA6VCXmqSFM",37.03588593,-7.9606311,"ALDI Faro - Montenegro","PT","Faro","Faro","Rua Francisco Assis 1","8005-549",1460040,"Gambelas"
3591910,"916045115","ChIJOdZUb3XRHg0R5yLtiNpbAfs",38.8134946,-9.36606047,"ALDI Lourel","PT","Sintra","Lisboa","Estrada Mafra 79","2710-142",1460040,"Lourel"
3591911,"916314306","ChIJgQCLEvvBJQ0Rw35_fP2zyDQ",41.82441685,-8.8704411,"ALDI Vila Praia de Âncora","PT","Vila Praia de Âncora","Viana do Castelo","Rua António Pedro 63","4910-392",1460040,NA
3591912,"916038474","ChIJN9n8_nNBGQ0RZA8G3Y2vBDs",38.5356421,-8.86662901,"ALDI Setúbal","PT","Setúbal","Setúbal","Rua Januário dos Santos Gonçalves","2910-706",1460040,NA
3591913,"916320791","ChIJgaTILaZJGQ0R8mNVjM-q9_A",38.56161421,-9.07682098,"ALDI Fernão Ferro","PT","Quinta do Conde","Setúbal","Avenida 10 de Junho 50","2975-053",1460040,"Fernão Ferro"
3591914,"916018276","ChIJx9faBWFRGA0RPX0WsgIsmH8",38.91979893,-8.87812988,"ALDI Porto Alto","PT","Samora Correia","Santarém","Rua Padre Cruz","2135-079",1460040,"Porto Alto"
3591915,"916298956","ChIJsZn92wf_JA0Rx5w6hJfXogQ",41.5474812,-8.3977265,"ALDI Braga","PT","Braga","Braga","Avenida Dom João II 270","4715-275",1460040,NA
3591916,"916038315","ChIJc7EH_5YDGA0Rcwvupt-SuiI",37.03753776,-7.83181295,"ALDI Olhão","PT","Quelfes","Faro","Avenida Dom João VI","8700-224",1460040,NA
3591917,"916306399","ChIJ7Z7f1B6DGA0RsZCR2xcmd2o",39.65890879,-8.58280093,"ALDI Ourém","PT","Ourém","Santarém","Rua dos Álamos 55","2490-543",1460040,NA
3591918,"916042172","ChIJke43EuoyGQ0RXJ4HNc2IWow",38.768907,-9.1664596,"ALDI Telheiras","PT","Lisboa","Lisboa","Rua Frederico George 20","1600-414",1460040,NA
3591919,"916040482","ChIJ56WFrlHFHg0Ry8PhwOZXVNM",38.77420594,-9.38013264,"ALDI Quinta da Beloura","PT","Sintra","Lisboa","Alameda Fonte Velha 45","2710-694",1460040,"Quinta da Beloura"
3591920,"916043503","ChIJUQyr125BGQ0RFqa3pNQ28c8",38.57654454,-8.89135287,"ALDI Palmela","PT","Palmela","Setúbal","Avenida Visconde Tojal","2950-313",1460040,"Volta da Pedra, E.N. 379, Km35 400"
3591921,"916040322","ChIJySLKC3wuGQ0RoJSQWqwWzbo",38.83611284,-9.09453829,"ALDI Santa Iria de Azóia","PT","Santa Iria de Azoia","Lisboa","Rua Circunvalação 80-80B","2690-212",1460040,"Bairro do Estacal Novo"
3591922,"916040287","ChIJb95Sb9E1GQ0RhYUIGx3IX2o",38.64573087,-9.16688819,"ALDI Feijó","PT","Almada","Setúbal","Estrada Algazarra","2810-012",1460040,"Quinta do Gato Bravo"
3591923,"916041988","ChIJra4JEJcDGA0RRgtQFHIYONs",37.1294969,-8.1505989,"ALDI Boliqueime","PT","Boliqueime","Faro","Avenida Professor Doutor Aníbal António Cavaco Silva","8100-069",1460040,"Fonte de Boliqueime"
3591924,"916008280","ChIJu_IO45YDGA0RL1GjR-3V5rY",37.13055646,-8.34918985,"ALDI Alcantarilha","PT","Alcantarilha","Faro","N125 125","8365-138",1460040,"E.N. 125, Loteamento Industrial do Rogelo"
3591925,"916300154","ChIJ59jLhNVhJA0RLjXpbeZWyBM",41.24181849,-8.5267684,"ALDI Alfena","PT","Alfena","Porto","Rua Viveiro 42","4445-238",1460040,NA
3591926,"916054081","ChIJLyIyZS3PHg0REcECLTvzbV8",38.70062317,-9.34722268,"ALDI São Domingos de Rana","PT","São Domingos de Rana","Lisboa","Avenida 25 de Abril 101","2785-575",1460040,NA
3591927,"916328650","ChIJzSWXvZFjJA0RFAVRRlfZTEg",41.18713868,-8.48943429,"ALDI Valongo","PT","Valongo","Porto","Rua Fonseca Dias 80-84","4440-652",1460040,NA
3591928,"916038913","ChIJoS3kNfDMHg0RqWB6NGVqzk4",38.73932628,-9.22610054,"ALDI Alfragide","PT","Alfragide","Lisboa","Avenida Quinta Grande 9","2610-153",1460040,NA
3591929,"916041994","ChIJHwiqM0iQGQ0R4wyoVGXz5dw",38.76915972,-9.31366994,"ALDI Cacém","PT","Agualva-Cacém","Lisboa","Rua Ilha Terceira 3","2735-479",1460040,NA
3591930,"916043136","ChIJxY5pkHj5Ig0RhiQh75R1j4k",40.20926913,-8.40403136,"ALDI Quinta da Maia","PT","Coimbra","Coimbra","Rua Comandante Sacadura Cabral 55","3030-333",1460040,"Quinta da Maia"
3591931,"916039707","ChIJZw1iiJFJGQ0RzVab_xDrOmE",38.6075638,-9.0881415,"ALDI Casal do Marco","PT","Casal do Marco","Setúbal","Rua 1 de Dezembro 1640 475","2840-126",1460040,"Casal do Marco"
3591932,"916039311","ChIJsR1NSWnPHg0RzKyJ5o1j7bg",38.769003,-9.298053,"ALDI Monte Abraão","PT","Queluz","Lisboa","Rua Bartolomeu Dias","2745-254",1460040,"Monte Abraão"
3591933,"916042416","ChIJIdoBB-QsGQ0Rw7FGXex-WG8",38.84149523,-9.16085228,"ALDI Infantado - Loures","PT","Infantado","Lisboa","Avenida Descobertas 13","2670-383",1460040,NA
3591934,"916176825","ChIJwYIwl1ZjJA0RIpiMrgSVSs0",41.17361134,-8.54263477,"ALDI Rio Tinto","PT","Rio Tinto","Porto","Rua Serafim Pereira Coutinho 56","4435-599",1460040,NA
3591935,"916043557","ChIJeSO8Kv9mJA0R5-KYuT8_m5g",41.2342442,-8.61299449,"ALDI Maia","PT","Maia","Porto","Rua Joaquim Silva Torres 324","4470-312",1460040,NA
3591936,"916018128","ChIJ8xZ6kC5HGQ0RO_nCoLrD20o",38.61876649,-8.91608938,"ALDI Pinhal Novo","PT","Pinhal Novo","Setúbal","Rua José Afonso","2955-103",1460040,"Bairro da Cascalheira"
3591937,"916043638","ChIJl_69lx_NHg0RS-s3f9zO_WQ",38.75817227,-9.27883073,"ALDI Massamá","PT","Queluz","Lisboa","Avenida José Régio 11","2745-807",1460040,NA
3591938,"916043639","ChIJZVP3CklLOw0RLAeeL4utNLU",41.30808662,-7.73474198,"ALDI Vila Real","PT","Vila Real","Vila Real","Avenida Aureliano Barrigas 100","5000-513",1460040,"E.N. n.º 2"
3591939,"916043079","ChIJN9X6dTU2GQ0RLzC4I8_sWFs",38.65592775,-9.05998507,"ALDI Barreiro","PT","Barreiro","Setúbal","Avenida Bocage 1","2830-095",1460040,NA
3591940,"916038070","ChIJJ5G6sibQHg0RKHg60xNWhVA",38.78542119,-9.33922926,"ALDI Casais de Mem Martins","PT","Mem Martins","Lisboa","Rua Vagens","2725-466",1460040,"Casais de Mem Martins S/N"
3591941,"916040845","ChIJcRbEU4HNGg0RgodPBhdrTjU",37.09465569,-8.25048596,"ALDI Albufeira","PT","Albufeira","Faro District","Rua dos Caliços","8200-125",1460040,NA
3591942,"916114710","ChIJ7UFmSf3RGg0RB6YewuQWQnI",37.09542256,-8.3101424,"ALDI Guia","PT","Guia","Faro","Quinta de Vale Verde, E.N. 125","8200-424",1460040,NA
3591943,"916040595","ChIJA313_IE1GQ0RncP76BJ97Jw",38.6341963,-9.1452154,"ALDI Corroios","PT","Corroios","Setúbal","Rua Bento Gonçalves 21","2855-574",1460040,"Santa Marta de Corroios"
3591944,"916043373","ChIJZRSiwDBlJA0RsIxiVW2xslA",41.1267081,-8.63115,"ALDI Coimbrões - Gaia","PT","Vila Nova de Gaia","Porto","Avenida Engenheiro Ludgero Marques 542","4400-026",1460040,"Coimbrões"
3591945,"916008283","ChIJ_XSwbZrHGw0RyNqgMg30Gic",38.00764694,-8.69420019,"ALDI Santiago do Cacém","PT","Santiago do Cacém","Setúbal","Estrada do Fidalgo","7540-236",1460040,NA
3591946,"916041152","ChIJYz51VZYDGA0RQ68Gdujrf9o",38.90206065,-9.03500178,"ALDI Alverca do Ribatejo","PT","Alverca do Ribatejo","Lisboa","N10","2615-277",1460040,"Azinhaga das Fainhas, EN 10"
3599867,"PTMOT110","ChIJyVAKum3FHg0R3EyBpOGTihw",38.7372454,-9.3835715,"ALDI Manique","PT","Alcabideche","Lisboa","Estrada de Manique","2645-019",1460040,NA
3600706,"PTMOT118","ChIJe3T_1S6lGA0RpjfkhiaLfws",39.54565389,-8.97003071,"ALDI Alcobaça","PT","Alcobaça","Leiria","Avenida Associação Alcobacense de Farmingville 6","2460-089",1460040,"Fração C"
3601440,"PTMOT121","ChIJURkBImQ3GQ0RZyLASqt9G_o",38.6550584,-9.0392299,"ALDI Baixa da Banheira","PT","Baixa da Banheira","Setúbal","Rua Augusto Gil","2835-067",1460040,NA
3601449,"PTMOT125","ChIJQ4ve0k11Gg0R1jk0hjAZW0U",38.0051573,-7.8650096,"ALDI Beja","PT","Beja","Beja","Avenida Fialho de Almeida","7800-395",1460040,NA
3603057,"PTMOT105","ChIJuaQ2YIjxJA0RZfFSYgOOCEI",41.4046972,-8.3245217,"ALDI Nespereira","PT","Nespereira","Braga","Rua Padre António Pereira da Silva 94","4835-472",1460040,NA
3603119,"PTMOT120","ChIJ0Q3RxsOBIw0RZpxIl7pyKBE",40.8929165,-8.4933123,"ALDI São João da Madeira","PT","São João da Madeira","Aveiro","Avenida Doutor Renato Araújo 1976","3700-245",1460040,NA
3603270,"PTMOT117","ChIJ-W5Lr-Q3Hw0RFmhgU3U_it0",39.2371698,-9.3077798,"ALDI Lourinhã","PT","Lourinhã","Lisboa","Avenida de Angola 40","2530-114",1460040,NA
3607402,"PTMOT119","ChIJI_SoXcDJJQ0RlqCaBXZ4QD4",41.69495449,-8.84357495,"ALDI Viana do Castelo","PT","Viana do Castelo","Viana do Castelo","Rua de Monserrate","4904-860",1460040,"EN 13"
3608905,"PTMOT112","ChIJM4s_WpyBIw0RwW5pKnr9swc",40.92125128,-8.56242156,"ALDI Santa Maria da Feira","PT","Santa Maria da Feira","Aveiro","Rua Doutor Crispim Borges de Castro 38","4520-195",1460040,NA
3608906,"PTMOT114","ChIJTW_7QddJGQ0Ru8VKxAM_FsQ",38.57546828,-9.0231818,"ALDI Quinta do Anjo","PT","Quinta do Anjo","Setúbal","Av. António Xavier de Lima","2950-037",1460040,NA
3610200,"PTMOT115","ChIJLxTYNP5nJA0RAGpoTNifzfA",41.2050372,-8.6336316,"ALDI Leça do Balio","PT","Leça do Balio","Porto","Rua de Recarei","4465-728",1460040,"Lugar de Avessas"
3621275,"PT001122","ChIJhwoxBPozGQ0Rutlv6PUUoTA",38.72039665,-9.1443234,"ALDI Tivoli","PT","Lisboa","Lisboa","Rua São José 189-193","1150-322",1460040,NA
3621286,"PT001126","ChIJjV3rAuH3JA0RX-a20JIggb4",41.43281321,-8.41584519,"ALDI Joane","PT","Joane","Vila Nova de Famalicão","Av. Padre Silva Rego","4770-260",1460040,NA
3635725,"No_identifier_","ChIJGZQn0viXJA0RJrpdCrBNSvk",41.1771439,-8.15071553,"ALDI Marco de Canaveses","PT","Marco de Canaveses","Porto","Avenida Futebol Club do Porto","4630-203",1460040,NA
3635727,"No_identifier","ChIJg6Lk8UrVIg0RlEyaaB9Q2lw",40.3550083,-7.8510859,"ALDI Oliveira do Hospital","PT","Oliveira do Hospital","Coimbra","Rua Comendador Manuel Rodrigues Lagos","3400-093",1460040,NA
