"tipoTienda","tieneFolleto","especial","codigoProvincia","codigoTienda","idTienda","posicionX","fechaVigenciaFolleto","posicionY"
2,TRUE,FALSE,18,8924,1002400,"41.073845","18/01/2023","-8.089292"
2,TRUE,FALSE,13,8929,1002432,"41.287108333","18/01/2023","-8.335936111"
2,TRUE,FALSE,11,9863,1002439,"38.742606","18/01/2023","-9.157866"
2,TRUE,FALSE,13,8932,1002449,"41.271955556","18/01/2023","-8.076544444"
2,TRUE,FALSE,13,8935,1002463,"41.340697222","18/01/2023","-8.479366667"
2,TRUE,FALSE,3,8938,1002478,"41.559105556","18/01/2023","-8.414144444"
2,TRUE,FALSE,13,8931,1002446,"41.237091667","18/01/2023","-8.529525"
2,TRUE,FALSE,11,9864,1002450,"38.740937863","18/01/2023","-9.211832284"
2,TRUE,FALSE,3,8933,1002457,"41.630327778","18/01/2023","-8.359891667"
2,TRUE,FALSE,3,8939,1002503,"41.555941667","18/01/2023","-8.434113889"
0,TRUE,FALSE,14,7022,1001527,"39.62252","18/01/2023","-8.66141"
0,TRUE,FALSE,5,7024,1001529,"39.9193","18/01/2023","-7.91438"
0,TRUE,FALSE,5,7025,1001530,"40.24005","18/01/2023","-7.52513"
0,TRUE,FALSE,14,7031,1001536,"39.69378","18/01/2023","-8.28741"
0,TRUE,FALSE,2,7032,1001537,"38.061780556","18/01/2023","-8.118011111"
0,TRUE,FALSE,10,7035,1001540,"39.99505","18/01/2023","-8.71827"
0,TRUE,FALSE,2,7039,1001544,"38.16261","18/01/2023","-7.89258"
0,TRUE,FALSE,7,7044,1001549,"38.94611","18/01/2023","-8.15951"
0,TRUE,FALSE,5,7050,1001555,"40.35746","18/01/2023","-7.35202"
0,TRUE,FALSE,10,7052,1001557,"39.9194","18/01/2023","-8.14834"
0,TRUE,FALSE,10,7054,1001559,"39.89624","18/01/2023","-8.28407"
0,TRUE,FALSE,11,7062,1001566,"39.15416","18/01/2023","-9.30525"
0,TRUE,FALSE,12,7063,1001567,"39.11939","18/01/2023","-7.28532"
0,TRUE,FALSE,8,7066,1001570,"37.31638","18/01/2023","-8.79802"
0,TRUE,FALSE,10,7073,1001576,"39.917","18/01/2023","-8.6346"
0,TRUE,FALSE,14,7075,1001578,"39.759","18/01/2023","-8.46036"
