"retailer","lojas","data"
"Pingo Doce",475,2023-01-16
"Continente",346,2023-01-16
"Mercadona",39,2023-01-16
"Lidl",0,2023-01-16
"Aldi",122,2023-01-16
"Minipreço",497,2023-01-16
"Intermarche",260,2023-01-16
