"id","identifier","googlePlaceId","lat","lng","name","country","city","province","streetAndNumber","zip","businessId","addressExtra"
1223985,"05746","ChIJTaJ8Gg3VGA0RyT7DmqXBnFQ",39.02104632,-9.15467912,"Continente Bom Dia Sobral de Monte Agraço","PT","Sobral de Monte Agraço","Lisboa","Av. Marquês de Pombal","2590-095",209756,"N248, Alto Fetais"
1231112,"04578","ChIJDbUjtht5JA0R6UXbZlAN1_E",40.96198268,-8.62836053,"Continente Bom Dia Esmoriz","PT","Esmoriz","Aveiro","Rua da Estação 45","3885-455",209756,NA
1248641,"06332","ChIJXfrc8P2hGA0RuVe7zaOR6Yw",39.62816774,-8.85281932,"Continente Modelo Porto de Mós","PT","Calvaria de Cima","Leiria","Estrada de Porto Mós","2480-062",209756,"Entroncamento de São Jorge, E.N. 1 com"
1250518,"03886","ChIJuQCF4DAzGQ0RdgTzfbBxyXg",38.75860882,-9.114854,"Continente Modelo Marechal Gomes da Costa","PT","Lisboa","Lisboa","Av. Marechal Gomes da Costa 33","1800-255",209756,NA
1250763,"05767","ChIJ7Y4XFunJHg0R3PX92qfzfr0",38.69663343,-9.32591351,"Continente Bom dia Quinta do Marquês","PT","Oeiras","Lisboa","Rua Norton de Matos 2","2780-155",209756,"Quinta do Marquês, R. Dr. António José de Almeida"
1253218,"03883","ChIJkX-Eql0hIw0Ro1bAPE0UjqU",40.40431115,-8.12929138,"Continente Bom Dia Santa Comba Dão","PT","Santa Comba Dão","Viseu","Avenida Santo Estevão 33","3440-323",209756,NA
1256020,"09665","ChIJ1_75qPF_JA0Rx0FyYKXfbvU",41.02839256,-8.55674727,"Continente Bom Dia Grijó","PT","Grijó","Porto","Rua de Américo de Oliveira","4415-425",209756,NA
1261256,"09024","ChIJJzffO6q1GA0R7Zn6n3JA_k0",39.35209177,-9.16017838,"Continente Bom Dia Óbidos","PT","Óbidos","Leiria","N8","2510-081",209756,NA
1261311,"02596","ChIJK4bajNbRGg0RjayPnZrMPRs",37.10660527,-8.36263711,"Continente Bom Dia Armação de Pêra","PT","Armação de Pêra","Faro","Avenida General Humberto Delgado","8365-138",209756,NA
1366032,"07683","ChIJPxOBPiZlJA0RnH32iHRiY64",41.14899451,-8.60581105,"Continente Bom Dia Via Catarina Shopping","PT","Porto","Porto","Rua de Santa Catarina 312-350","4000-433",209756,"Catarina Shopping"
1400468,"05763","ChIJEW-VV_ZzIg0RRvuTLJnjFG4",39.754681,-8.80295,"Continente Bom Dia Leiria Marrazes","PT","Leiria","Leiria","Rua Álvaro Pires Miranda","2415-369",209756,NA
1553347,"06175","ChIJkzAmFgbfOg0R-akPNVLMS0g",41.74432691,-7.47002563,"Continente Bom Dia Chaves","PT","Chaves","Vila Real","Avenida Doutor António Granjo","5400-080",209756,"lote 6 Chaves"
1570366,"02075","ChIJa-adpBMJOw0RJSwyTPbgxd0",41.47532016,-7.17754151,"Continente Modelo Mirandela","PT","Mirandela","Bragança","Rua Força Aérea","5370-408",209756,NA
1576150,"09379","ChIJiwJu03uzGA0RtzibgHJnZQ8",39.39893283,-9.13565881,"Continente Bom Dia Caldas da Rainha","PT","Caldas da Rainha","Leiria","Rua Fernando Ponte e Sousa 37","2500-200",209756,NA
1630212,"07691","ChIJIw99DIMzGQ0RCl5-UdyRB2E",38.72967175,-9.12828904,"Continente Bom Dia General Roçadas","PT","Lisboa","Lisboa","Avenida General Roçadas 169","1170-230",209756,NA
1630215,"03580","ChIJ3wBJoIyXJQ0RgFhswfk5lWs",41.944,-8.74264,"Continente Bom Dia Vila Nova de Cerveira","PT","Vila Nova de Cerveira","Viana do Castelo","Rua do Belo Cais 5","4920-260",209756,NA
1630217,"09664","ChIJu9JgBeIjPQ0RDfiLx9s574M",40.2940055,-7.4828713,"Continente Bom Dia Canhoso","PT","Covilhã","Castelo Branco","Rua Humberto Delgado 2B","6200-027",209756,NA
1769506,"03366","ChIJn6Mnpw83Ig0RS5rlBWHy9MI",40.1580955,-8.84853553,"Continente Modelo Figueira da Foz","PT","Figueira da Foz","Coimbra","Rotunda Maria Clara","3080-602",209756,NA
1786140,"04246","ChIJjega392bIw0Rk2nWN8ilXnQ",40.76256829,-8.57365289,"Continente Bom Dia Estarreja","PT","Estarreja","Aveiro","Rua da Arrotinha 50","3860-207",209756,NA
1789575,"09663","ChIJN4Mz92WBJA0RuBEmNgZ4B6U",41.01053507,-8.46190409,"Continente Bom Dia Canedo","PT","Canedo","Aveiro","Rua do Rio Douro","4525-189",209756,NA
1790392,"04961","ChIJPZPDbRxlJA0RwN1iC-4vECY",41.148832,-8.600175,"Continente Bom Dia Campo 24 de Agosto","PT","Porto","Porto","Rua de Fernandes Tomás","4000-208",209756,NA
1799618,"07679","ChIJNRp4NhJ7JA0ReUKHIl57pn0",41.101326,-8.586929,"Continente Bom dia Monte da Virgem - Vila d'Este","PT","Vila Nova de Gaia","Porto","Rua das Colectividades","4430-433",209756,"Vilar de Andorinho"
1800694,"04526","ChIJ75y4R0zzGA0RrU7VuQ4zA9s",39.25664307,-8.58633314,"Continente Bom dia Alpiarça","PT","Alpiarça","Santarém","Rua José Relvas 46","2090-103",209756,NA
1846214,"03698","ChIJG4oXPGFzIg0RPz4Cea_ZIbE",39.76094564,-8.82235964,"Continente Bom dia Gândara Olivais","PT","Leiria","Leiria","Rua Dom Carlos I","2415-405",209756,NA
2122228,"03192","ChIJCwJwpbAzGQ0REWHXed7IYjA",38.787941,-9.147497,"Continente Modelo Alta de Lisboa","PT","Lisboa","Lisboa","Rua Hermínio da Palma Inácio","1750-480",209756,"Lote 28.2 - Loja A"
2223252,"04902","ChIJm6TYHjwzGQ0Rw20sVnusLpE",38.71496232,-9.13680645,"Continente Bom Dia Martim Moniz","PT","Lisboa","Lisboa","Praça Martim Moniz 1","1100-198",209756,"Edifício Hotel Mundial"
2270500,"03739","ChIJtXpixVllJA0RaSyRvgrp4y0",41.1810895,-8.61441584,"Continente Bom Dia Amial","PT","Porto","Porto","Rua do Amial 831","4200-062",209756,NA
2348907,"07678","ChIJebzeTmdjJA0RX3SBWGPGQmI",41.18339793,-8.53765902,"Continente Bom Dia Baguim do Monte","PT","Baguim do Monte","Porto","Tv. Tomás Barbosa Leão 30","4435-816",209756,NA
2428766,"05769","ChIJI106E_9fPQ0RMh6Gt5Zd5Ms",39.817839,-7.48865,"Continente Bom Dia Castelo Branco","PT","Castelo Branco","Castelo Branco","Rua Adelino Semedo Barata","6000-040",209756,NA
2449042,"04752","ChIJ7cnkJsuNRwsRDyHsATCov98",38.52871,-28.53262,"Continente Modelo Madalena","PT","Madalena","Açores","Rua José Martins Garcia","9950-323",209756,"Rua Novo Caminho Municipal da Escola Cardeal Costa"
2462600,"03466","ChIJh3bn3II1GQ0R82E7tKXrI5U",38.64578,-9.170352,"Continente Bom Dia Sobreda","PT","Sobreda","Setúbal","Rua Branca Colaço","2815-892",209756,"Estrada Nacional 10 km 2.8"
